2019-06-05 23:01:23,559 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-06-05 23:49:48,467 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-06-05 23:50:35,562 [Worker-11: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:35,562 [Worker-4: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:36,895 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:36,896 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\Chapter03_Maven\src\main\resources
2019-06-05 23:50:36,898 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:36,899 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\Chapter03_Maven\src\test\resources
2019-06-05 23:50:37,067 [Worker-11: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter01_Maven:chapter01_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter01_Maven\pom.xml.
2019-06-05 23:50:37,236 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:37,237 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter01_Maven\src\main\resources
2019-06-05 23:50:37,238 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:37,239 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter01_Maven\src\test\resources
2019-06-05 23:50:37,560 [Worker-11: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_Maven:chapter02_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_Maven\pom.xml.
2019-06-05 23:50:37,775 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:37,813 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-06-05 23:50:37,819 [Worker-11: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:37,819 [Worker-11: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter02_Maven\src\test\resources
2019-06-05 23:50:38,351 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_SpringMaven:chapter02_SpringMaven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_SpringMaven\pom.xml.
2019-06-05 23:50:38,568 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:38,569 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter02_SpringMaven\src\main\resources
2019-06-05 23:50:38,570 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:38,571 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter02_SpringMaven\src\test\resources
2019-06-05 23:50:38,752 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter04_Maven:chapter04_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter04_Maven\pom.xml.
2019-06-05 23:50:39,542 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:39,543 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter04_Maven\src\main\resources
2019-06-05 23:50:39,544 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:39,545 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter04_Maven\src\test\resources
2019-06-05 23:50:39,677 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter05_Maven:chapter05_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter05_Maven\pom.xml.
2019-06-05 23:50:40,431 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:40,432 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter05_Maven\src\main\resources
2019-06-05 23:50:40,433 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:40,433 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter05_Maven\src\test\resources
2019-06-05 23:50:41,178 [Worker-17: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:41,178 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter06_Maven\pom.xml.
2019-06-05 23:50:42,270 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:42,271 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter06_Maven\src\main\resources
2019-06-05 23:50:42,272 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:42,273 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\chapter06_Maven\src\test\resources
2019-06-05 23:50:42,614 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:42,659 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter01_Maven:chapter01_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter01_Maven\pom.xml.
2019-06-05 23:50:42,685 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_Maven:chapter02_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_Maven\pom.xml.
2019-06-05 23:50:42,729 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: chapter02_SpringMaven:chapter02_SpringMaven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter02_SpringMaven\pom.xml.
2019-06-05 23:50:42,750 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter04_Maven:chapter04_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter04_Maven\pom.xml.
2019-06-05 23:50:42,794 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter05_Maven:chapter05_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter05_Maven\pom.xml.
2019-06-05 23:50:42,831 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\chapter06_Maven\pom.xml.
2019-06-05 23:50:43,067 [Worker-18: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exam:springproject:1.0.0-BUILD-SNAPSHOT @ D:\spring\workspace\springproject\pom.xml.
2019-06-05 23:50:43,067 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.exam:springproject:1.0.0-BUILD-SNAPSHOT @ D:\spring\workspace\springproject\pom.xml.
2019-06-05 23:50:43,964 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:43,966 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-06-05 23:50:43,976 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:43,977 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-06-05 23:50:44,547 [Worker-0: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: chapter06_Maven:chapter06_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\test\pom.xml.
2019-06-05 23:50:44,547 [Worker-12: Updating Maven Dependencies] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Chapter03_Maven:Chapter03_Maven:0.0.1-SNAPSHOT @ D:\spring\workspace\Chapter03_Maven\pom.xml.
2019-06-05 23:50:45,248 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:45,249 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\test\src\main\resources
2019-06-05 23:50:45,250 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-05 23:50:45,251 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\spring\workspace\test\src\test\resources
